CODESYS V3.5 SP11 Trace: Trace
C:\Users\hyd\TestStand\Codesys\LLC Stable Version\Stable TestStand LLC.project
Timestamp(ms) gMain.CR2052.X2.Pin02.Aout gMain.CR2052.X4.Pin02.Aout gMain.CR2052.X6.Pin02.Aout gMain.CR2052.X2.Pin05.Aout gMain.CR2052.X4.Pin05.Aout gMain.CR2052.X6.Pin05.Aout gTestStand.PPaddlesA.Pressure gTestStand.PPaddlesB.Pressure gTestStand.PCarriageA.Pressure gTestStand.PCarriageB.Pressure gTestStand.PArmA.Pressure gTestStand.PArmB.Pressure ArmEncoder.In CarriageEncoder.In TestStandMain.ArmTestStandController.OpenLoopParams.udiCycleCount TestStandMain.CarriageTestStandController.OpenLoopParams.udiCycleCount TestStandMain.PaddlesTestStandController.OpenLoopParams.udiCycleCount 
94 920 0 0 0 0 0 -367.5 -367.5 2915.25 240.75 -366.75 -366.75 4264 16697080 0 0 0
194 920 0 0 0 0 0 -366.75 -367.5 2919 237.75 -366.75 -366.75 4263 16697080 0 0 0
294 0 0 0 759 0 0 -367.5 -367.5 2917.5 234.75 -367.5 -368.25 4264 16697080 0 0 0
394 0 0 0 759 0 0 -366.75 -367.5 2919 230.25 -366.75 -366.75 4264 16697080 0 0 0
494 0 0 0 759 0 0 -368.25 -368.25 2799 225.75 -367.5 -368.25 4264 16697080 0 0 0
594 0 0 0 759 0 0 -367.5 -366.75 1974.75 799.5 -366.75 -366.75 4264 16697074 0 0 0
694 0 0 0 759 0 0 -367.5 -366.75 1244.25 777 -366.75 -366.75 4264 16697067 0 0 0
794 0 0 0 759 0 0 -366.75 -366.75 705 789 -367.5 -366.75 4264 16697055 0 0 0
894 0 0 0 759 0 0 -366.75 -366.75 650.25 1161.75 -367.5 -367.5 4264 16696955 0 0 0
994 0 0 0 759 0 0 -366.75 -366.75 738.75 1079.25 -367.5 -367.5 4264 16696550 0 0 0
1094 0 0 0 759 0 0 -367.5 -366.75 726.75 1056 -367.5 -366.75 4264 16696169 0 0 0
1194 0 0 0 759 0 0 -367.5 -367.5 714.75 1178.25 -366.75 -367.5 4264 16695798 0 0 0
1294 0 0 0 759 0 0 -366.75 -366.75 737.25 1029.75 -367.5 -367.5 4264 16695360 0 0 0
1394 0 0 0 759 0 0 -366.75 -366.75 710.25 1131 -366.75 -366.75 4264 16695005 0 0 0
1494 0 0 0 759 0 0 -367.5 -366.75 719.25 1170 -366.75 -367.5 4264 16694602 0 0 0
1594 0 0 0 759 0 0 -366.75 -367.5 726.75 1063.5 -366.75 -366.75 4264 16694176 0 0 0
1694 0 0 0 759 0 0 -366.75 -366.75 710.25 1137 -367.5 -367.5 4264 16693820 0 0 0
1794 0 0 0 759 0 0 -366.75 -367.5 726.75 1087.5 -367.5 -366.75 4264 16693401 0 0 0
1894 0 0 0 759 0 0 -367.5 -367.5 725.25 1053 -367.5 -367.5 4264 16692990 0 0 0
