CODESYS V3.5 SP11 Trace: Trace
C:\Users\hyd\TestStand\Codesys\LLC Working Version\Working Test Stand LLC.project
Timestamp(ms) gMain.CR2052.X2.Pin02.Aout gMain.CR2052.X4.Pin02.Aout gMain.CR2052.X6.Pin02.Aout gMain.CR2052.X2.Pin05.Aout gMain.CR2052.X4.Pin05.Aout gMain.CR2052.X6.Pin05.Aout gTestStand.PPaddlesA.Pressure gTestStand.PPaddlesB.Pressure gTestStand.PCarriageA.Pressure gTestStand.PCarriageB.Pressure gTestStand.PArmA.Pressure gTestStand.PArmB.Pressure ArmEncoder.In CarriageEncoder.In TestStandMain.ArmTestStandController.OpenLoopParams.udiCycleCount TestStandMain.CarriageTestStandController.OpenLoopParams.udiCycleCount TestStandMain.PaddlesTestStandController.OpenLoopParams.udiCycleCount 
92 0 0 0 759 0 0 -363 -362.25 542.25 935.25 -367.5 -367.5 4265 16689688 0 0 0
192 0 0 0 759 0 0 -362.25 -362.25 543 893.25 -367.5 -366.75 4265 16689258 0 0 0
292 0 0 0 759 0 0 -362.25 -362.25 534 946.5 -366.75 -366.75 4265 16688854 0 0 0
392 0 0 0 759 0 0 -362.25 -362.25 543.75 912 -366.75 -366.75 4265 16688420 0 0 0
492 0 0 0 759 0 0 -362.25 -362.25 534 970.5 -366.75 -367.5 4265 16688021 0 0 0
592 0 0 0 759 0 0 -361.5 -363 546.75 930.75 -368.25 -366.75 4265 16687590 0 0 0
692 0 0 0 759 0 0 -362.25 -363 539.25 966.75 -367.5 -368.25 4265 16687181 0 0 0
791 0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
792 "" 0 0 759 0 0 -362.25 -363 544.5 927.75 -367.5 -367.5 4265 16686751 0 0 0
892 0 0 0 759 0 0 -362.25 -362.25 543 924 -367.5 -367.5 4265 16686338 0 0 0
992 0 0 0 759 0 0 -361.5 -362.25 539.25 941.25 -367.5 -368.25 4265 16685922 0 0 0
1092 0 0 0 759 0 0 -363 -362.25 543 942 -367.5 -368.25 4265 16685504 0 0 0
1192 0 0 0 759 0 0 -362.25 -362.25 538.5 988.5 -367.5 -367.5 4265 16685092 0 0 0
1292 0 0 0 759 0 0 -362.25 -363 544.5 949.5 -367.5 -367.5 4265 16684664 0 0 0
1392 0 0 0 759 0 0 -362.25 -363 544.5 949.5 -367.5 -367.5 4265 16684664 0 0 0
1492 0 0 0 759 0 0 -363 -363 540 961.5 -368.25 -367.5 4265 16684251 0 0 0
1592 0 0 0 759 0 0 -362.25 -363 541.5 965.25 -367.5 -367.5 4265 16683816 0 0 0
1692 0 0 0 759 0 0 -363 -363 543.75 921 -367.5 -367.5 4265 16683395 0 0 0
1792 0 0 0 759 0 0 -363 -362.25 535.5 963.75 -367.5 -368.25 4265 16682975 0 0 0
1891 0 0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
1892 "" "" 0 759 0 0 -362.25 -363 548.25 951.75 -367.5 -367.5 4265 16682551 0 0 0
1992 0 0 0 1400 0 0 -363 -363 539.25 976.5 -367.5 -366.75 4265 16682136 0 0 0
2092 0 0 0 1400 0 0 -362.25 -362.25 548.25 944.25 -367.5 -367.5 4265 16681721 0 0 0
2192 0 0 0 1400 0 0 -362.25 -363 540.75 962.25 -367.5 -367.5 4265 16681301 0 0 0
2292 0 0 0 1400 0 0 -363 -363 462 1456.5 -367.5 -368.25 4264 16680761 0 0 0
2392 0 0 0 1400 0 0 -362.25 -363 621 1114.5 -367.5 -367.5 4264 16679381 0 0 0
2492 0 0 0 1400 0 0 -362.25 -363 561 976.5 -367.5 -367.5 4265 16678022 0 0 0
2592 0 0 0 1400 0 0 -362.25 -363 515.25 1245 -366.75 -367.5 4265 16676682 0 0 0
2692 0 0 0 0 0 0 -362.25 -362.25 570.75 1003.5 -367.5 -367.5 4265 16675201 0 1 0
2792 0 0 0 0 0 0 -362.25 -362.25 546 1024.5 -367.5 -367.5 4265 16673847 0 1 0
2892 0 0 0 0 0 0 -361.5 -362.25 547.5 1239.75 -367.5 -367.5 4264 16672478 0 1 0
2992 0 0 0 0 0 0 -361.5 -362.25 1428.75 636.75 -366.75 -367.5 4266 16671228 0 1 0
3092 0 0 0 0 0 0 -361.5 -362.25 960.75 942 -367.5 -367.5 4262 16671253 0 1 0
3191 1400 0 0 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
3192 "" "" "" 0 0 0 -361.5 -362.25 880.5 879 -367.5 -367.5 4258 16671253 0 1 0
3291 1400 0 0 0 0 0 -362.25 -363 823.5 822.75 -367.5 -367.5 4258 16671252 "" "" ""
3292 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0 1 0
3392 1400 0 0 0 0 0 -361.5 -363 778.5 777 -366.75 -367.5 4258 16671253 0 1 0
3492 1400 0 0 0 0 0 -362.25 -362.25 744 742.5 -367.5 -367.5 4258 16671253 0 1 0
3592 1400 0 0 0 0 0 -362.25 -363 679.5 538.5 -367.5 -367.5 4258 16671253 0 1 0
3692 1400 0 0 0 0 0 -363 -363 2232.75 501.75 -367.5 -368.25 4259 16671773 0 1 0
3792 1400 0 0 0 0 0 -362.25 -363 971.25 615 -368.25 -367.5 4258 16673364 0 1 0
3892 1400 0 0 0 0 0 -362.25 -363 1051.5 531.75 -368.25 -368.25 4259 16674730 0 1 0
3992 1400 0 0 0 0 0 -362.25 -362.25 1149.75 543 -368.25 -368.25 4259 16676149 0 1 0
4092 1400 0 0 0 0 0 -362.25 -363 1143.75 549 -368.25 -368.25 4259 16677596 0 1 0
4192 1400 0 0 0 0 0 -362.25 -362.25 1089.75 552.75 -368.25 -368.25 4259 16679067 0 1 0
4292 1400 0 0 0 0 0 -363 -362.25 1103.25 545.25 -367.5 -367.5 4259 16680501 0 1 0
4391 1400 0 0 0 "" "" "" "" "" "" "" "" "" "" "" "" ""
4392 "" "" "" "" 0 0 -363 -363 1136.25 541.5 -367.5 -368.25 4259 16681892 0 1 0
4492 1400 0 0 0 0 0 -363 -362.25 1131.75 548.25 -366.75 -367.5 4259 16683345 0 1 0
4592 1400 0 0 0 0 0 -362.25 -362.25 1101.75 550.5 -368.25 -366.75 4259 16684801 0 1 0
4692 0 0 0 0 0 0 -363 -363 1095.75 548.25 -367.5 -368.25 4259 16686231 0 2 0
4792 0 0 0 0 0 0 -362.25 -362.25 1103.25 546.75 -367.5 -367.5 4259 16687668 0 2 0
4892 0 0 0 0 0 0 -362.25 -362.25 1109.25 547.5 -368.25 -367.5 4259 16689096 0 2 0
4992 0 0 0 0 0 0 -362.25 -362.25 709.5 1362.75 -368.25 -367.5 4258 16690183 0 2 0
5092 0 0 0 0 0 0 -362.25 -362.25 966 930.75 -366.75 -367.5 4259 16690130 0 2 0
5192 0 0 0 0 0 0 -362.25 -363 889.5 861.75 -367.5 -367.5 4259 16690128 0 2 0
5292 0 0 0 1400 0 0 -361.5 -362.25 820.5 816.75 -367.5 -368.25 4258 16690129 0 2 0
5392 0 0 0 1400 0 0 -362.25 -362.25 774 774 -367.5 -368.25 4258 16690129 0 2 0
5492 0 0 0 1400 0 0 -362.25 -362.25 735.75 734.25 -367.5 -368.25 4258 16690129 0 2 0
5592 0 0 0 1400 0 0 -361.5 -361.5 704.25 703.5 -367.5 -367.5 4258 16690129 0 2 0
5692 0 0 0 1400 0 0 -362.25 -361.5 547.5 630 -366.75 -367.5 4258 16690129 0 2 0
5792 0 0 0 1400 0 0 -363 -363 346.5 2129.25 -368.25 -368.25 4257 16689741 0 2 0
5892 0 0 0 1400 0 0 -362.25 -362.25 693 948 -368.25 -368.25 4261 16688178 0 2 0
5992 0 0 0 1400 0 0 -362.25 -362.25 519.75 1197 -367.5 -367.5 4260 16686896 0 2 0
6091 0 0 0 1400 0 0 -362.25 -362.25 "" "" "" "" "" "" "" "" ""
6092 "" "" "" "" "" "" "" "" 567.75 1021.5 -368.25 -367.5 4261 16685412 0 2 0
6192 0 0 0 1400 0 0 -361.5 -361.5 543 1082.25 -367.5 -368.25 4261 16684084 0 2 0
6292 0 0 0 1400 0 0 -362.25 -362.25 544.5 1157.25 -367.5 -368.25 4261 16682701 0 2 0
6392 0 0 0 1400 0 0 -362.25 -362.25 551.25 1113 -368.25 -368.25 4261 16681264 0 2 0
6492 0 0 0 1400 0 0 -362.25 -363 555.75 1025.25 -368.25 -367.5 4261 16679854 0 2 0
6592 0 0 0 1400 0 0 -363 -362.25 527.25 1126.5 -367.5 -367.5 4261 16678505 0 2 0
6691 0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
6692 "" 0 0 1400 0 0 -362.25 -362.25 555 1145.25 -368.25 -367.5 4261 16677064 0 3 0
6791 0 0 0 0 0 0 -362.25 -362.25 "" "" "" "" "" "" "" "" ""
6792 "" "" "" "" "" "" "" "" 557.25 1011.75 -367.5 -367.5 4261 16675661 0 3 0
6892 0 0 0 0 0 0 -362.25 -362.25 521.25 1209.75 -367.5 -367.5 4261 16674322 0 3 0
6992 0 0 0 0 0 0 -361.5 -361.5 567.75 998.25 -368.25 -368.25 4261 16672836 0 3 0
7092 0 0 0 0 0 0 -362.25 -362.25 1275.75 675.75 -368.25 -368.25 4264 16671815 0 3 0
7192 0 0 0 0 0 0 -361.5 -362.25 907.5 886.5 -368.25 -368.25 4261 16671844 0 3 0
7291 1400 0 0 0 0 0 -362.25 -362.25 830.25 828.75 -367.5 -367.5 "" "" "" "" ""
7292 "" "" "" "" "" "" "" "" "" "" "" "" 4260 16671844 0 3 0
7392 1400 0 0 0 0 0 -362.25 -362.25 781.5 780 -368.25 -367.5 4260 16671844 0 3 0
7492 1400 0 0 0 0 0 -362.25 -362.25 744 742.5 -366.75 -368.25 4260 16671844 0 3 0
7592 1400 0 0 0 0 0 -361.5 -361.5 708 706.5 -367.5 -367.5 4260 16671844 0 3 0
